name,x,y,width,height
standright1,432,0,48,48
standright2,384,0,48,48
standright3,336,0,48,48
standright4,288,0,48,48
standright5,240,0,48,48
standright6,192,0,48,48
standright7,144,0,48,48
standright8,96,0,48,48
standright9,48,0,48,48
standright10,0,0,48,48
gestureright1,432,48,48,48
gestureright2,384,48,48,48
gestureright3,336,48,48,48
gestureright4,288,48,48,48
gestureright5,240,48,48,48
gestureright6,192,48,48,48
gestureright7,144,48,48,48
gestureright8,96,48,48,48
gestureright9,48,48,48,48
gestureright10,0,48,48,48
walkright1,432,96,48,48
walkright2,384,96,48,48
walkright3,336,96,48,48
walkright4,288,96,48,48
walkright5,240,96,48,48
walkright6,192,96,48,48
walkright7,144,96,48,48
walkright8,96,96,48,48
walkright9,48,96,48,48
walkright10,0,96,48,48
strikeright1,432,144,48,48
strikeright2,384,144,48,48
strikeright3,336,144,48,48
strikeright4,288,144,48,48
strikeright5,240,144,48,48
strikeright6,192,144,48,48
strikeright7,144,144,48,48
strikeright8,96,144,48,48
strikeright9,48,144,48,48
strikeright10,0,144,48,48
dieright1,432,192,48,48
dieright2,384,192,48,48
dieright3,336,192,48,48
dieright4,288,192,48,48
dieright5,240,192,48,48
dieright6,192,192,48,48
dieright7,144,192,48,48
dieright8,96,192,48,48
dieright9,48,192,48,48
dieright10,0,192,48,48
standleft1,480,0,48,48
standleft2,528,0,48,48
standleft3,576,0,48,48
standleft4,624,0,48,48
standleft5,672,0,48,48
standleft6,720,0,48,48
standleft7,768,0,48,48
standleft8,816,0,48,48
standleft9,864,0,48,48
standleft10,912,0,48,48
gestureleft1,480,48,48,48
gestureleft2,528,48,48,48
gestureleft3,576,48,48,48
gestureleft4,624,48,48,48
gestureleft5,672,48,48,48
gestureleft6,720,48,48,48
gestureleft7,768,48,48,48
gestureleft8,816,48,48,48
gestureleft9,864,48,48,48
gestureleft10,912,48,48,48
walkleft1,480,96,48,48
walkleft2,528,96,48,48
walkleft3,576,96,48,48
walkleft4,624,96,48,48
walkleft5,672,96,48,48
walkleft6,720,96,48,48
walkleft7,768,96,48,48
walkleft8,816,96,48,48
walkleft9,864,96,48,48
walkleft10,912,96,48,48
strikeleft1,480,144,48,48
strikeleft2,528,144,48,48
strikeleft3,576,144,48,48
strikeleft4,624,144,48,48
strikeleft5,672,144,48,48
strikeleft6,720,144,48,48
strikeleft7,768,144,48,48
strikeleft8,816,144,48,48
strikeleft9,864,144,48,48
strikeleft10,912,144,48,48
dieleft1,480,192,48,48
dieleft2,528,192,48,48
dieleft3,576,192,48,48
dieleft4,624,192,48,48
dieleft5,672,192,48,48
dieleft6,720,192,48,48
dieleft7,768,192,48,48
dieleft8,816,192,48,48
dieleft9,864,192,48,48
dieleft10,912,192,48,48
