name,x,y,width,height
standright1,0,0,32,32
standright2,32,0,32,32
standright3,64,0,32,32
standright4,96,0,32,32
standright5,128,0,32,32
standright6,160,0,32,32
standright7,192,0,32,32
standright8,224,0,32,32
standright9,256,0,32,32
standright10,288,0,32,32
gestureright1,0,32,32,32
gestureright2,32,32,32,32
gestureright3,64,32,32,32
gestureright4,96,32,32,32
gestureright5,128,32,32,32
gestureright6,160,32,32,32
gestureright7,192,32,32,32
gestureright8,224,32,32,32
gestureright9,256,32,32,32
gestureright10,288,32,32,32
walkright1,0,64,32,32
walkright2,32,64,32,32
walkright3,64,64,32,32
walkright4,96,64,32,32
walkright5,128,64,32,32
walkright6,160,64,32,32
walkright7,192,64,32,32
walkright8,224,64,32,32
walkright9,256,64,32,32
walkright10,288,64,32,32
strikeright1,0,96,32,32
strikeright2,32,96,32,32
strikeright3,64,96,32,32
strikeright4,96,96,32,32
strikeright5,128,96,32,32
strikeright6,160,96,32,32
strikeright7,192,96,32,32
strikeright8,224,96,32,32
strikeright9,256,96,32,32
strikeright10,288,96,32,32
dieright1,0,128,32,32
dieright2,32,128,32,32
dieright3,64,128,32,32
dieright4,96,128,32,32
dieright5,128,128,32,32
dieright6,160,128,32,32
dieright7,192,128,32,32
dieright8,224,128,32,32
dieright9,256,128,32,32
dieright10,288,128,32,32
standleft1,608,0,32,32
standleft2,576,0,32,32
standleft3,544,0,32,32
standleft4,512,0,32,32
standleft5,480,0,32,32
standleft6,448,0,32,32
standleft7,416,0,32,32
standleft8,384,0,32,32
standleft9,352,0,32,32
standleft10,320,0,32,32
gestureleft1,608,32,32,32
gestureleft2,576,32,32,32
gestureleft3,544,32,32,32
gestureleft4,512,32,32,32
gestureleft5,480,32,32,32
gestureleft6,448,32,32,32
gestureleft7,416,32,32,32
gestureleft8,384,32,32,32
gestureleft9,352,32,32,32
gestureleft10,320,32,32,32
walkleft1,608,64,32,32
walkleft2,576,64,32,32
walkleft3,544,64,32,32
walkleft4,512,64,32,32
walkleft5,480,64,32,32
walkleft6,448,64,32,32
walkleft7,416,64,32,32
walkleft8,384,64,32,32
walkleft9,352,64,32,32
walkleft10,320,64,32,32
strikeleft1,608,96,32,32
strikeleft2,576,96,32,32
strikeleft3,544,96,32,32
strikeleft4,512,96,32,32
strikeleft5,480,96,32,32
strikeleft6,448,96,32,32
strikeleft7,416,96,32,32
strikeleft8,384,96,32,32
strikeleft9,352,96,32,32
strikeleft10,320,96,32,32
dieleft1,608,128,32,32
dieleft2,576,128,32,32
dieleft3,544,128,32,32
dieleft4,512,128,32,32
dieleft5,480,128,32,32
dieleft6,448,128,32,32
dieleft7,416,128,32,32
dieleft8,384,128,32,32
dieleft9,352,128,32,32
dieleft10,320,128,32,32
